id,name,skin_type,user_id,password,birthyear,gender
0,River,oily,River,7721,1997,female
1,Leland,dry,Leland,9771,1995,male
2,Markell,oily,Markell,8526,1995,male
3,Efren,dry,Efren,7497,1998,female
4,Kellen,dry,Kellen,1903,1990,male
5,Marquez,sensitive,Marquez,8437,1994,male
6,Menachem,sensitive,Menachem,9152,1993,female
7,Ted,dry,Ted,8066,1991,female
8,Unknown,dry,Unknown,7859,1998,female
9,Amos,oily,Amos,3764,1996,female
10,Cecil,oily,Cecil,1243,1993,female
11,Harvey,oily,Harvey,2881,1995,female
12,Justus,oily,Justus,9119,1998,female
13,Markel,sensitive,Markel,6524,1998,female
14,Misael,dry,Misael,5178,1995,male
15,Rasheed,dry,Rasheed,1410,1995,male
16,Alton,sensitive,Alton,7386,1998,male
17,Blair,sensitive,Blair,5038,1998,male
18,Abram,oily,Abram,4137,1997,female
19,Ellis,sensitive,Ellis,7383,1996,male
20,Lionel,sensitive,Lionel,3110,1993,female
21,Maximillian,sensitive,Maximillian,1106,1993,female
22,Dallin,sensitive,Dallin,1466,1996,female
23,Edgardo,oily,Edgardo,3024,1993,female
24,Jayden,dry,Jayden,7623,1992,male
25,Khari,dry,Khari,6047,1994,female
26,Dawson,oily,Dawson,9098,1994,male
27,Denver,oily,Denver,8194,1993,female
28,Jevon,oily,Jevon,4718,1997,female
29,Tyquan,oily,Tyquan,7664,1991,female
30,Rusty,dry,Rusty,2889,1997,male
31,Sonny,oily,Sonny,7623,1998,male
32,Trayvon,dry,Trayvon,6084,1992,male
33,Niko,sensitive,Niko,4335,1991,male
34,Alonso,sensitive,Alonso,7127,1995,male
35,Davin,oily,Davin,1797,1994,female
36,Hernan,dry,Hernan,8164,1997,female
37,Muhammad,sensitive,Muhammad,6029,1995,male
38,Remington,oily,Remington,5179,1993,female
39,Augustus,dry,Augustus,6719,1995,male
40,Benny,dry,Benny,9200,1995,male
41,Daron,dry,Daron,9906,1998,male
42,Mikel,oily,Mikel,3319,1997,male
43,Silas,dry,Silas,8804,1992,female
44,Valentin,sensitive,Valentin,2676,1996,female
45,Wendell,sensitive,Wendell,3934,1997,male
46,Antony,sensitive,Antony,5714,1994,female
47,Clyde,oily,Clyde,5695,1995,female
48,Gunner,oily,Gunner,3925,1998,female
49,Ibrahim,oily,Ibrahim,9920,1997,female
50,Kelby,sensitive,Kelby,9349,1998,female
