id,name,skin_type,user_id,password,birthyear,gender
0,River,oily,River,7721,1997,female
1,Leland,dry,Leland,9771,1995,male
2,Markell,oily,Markell,8526,1995,male
3,Efren,dry,Efren,7497,1998,female
4,Kellen,dry,Kellen,1903,1990,male
5,Marquez,sensitive,Marquez,8437,1994,male
6,Menachem,sensitive,Menachem,9152,1993,female
7,Ted,dry,Ted,8066,1991,female
8,Unknown,dry,Unknown,7859,1998,female
9,Amos,oily,Amos,3764,1996,female
10,Cecil,oily,Cecil,1243,1993,female
11,Harvey,oily,Harvey,2881,1995,female
12,Justus,oily,Justus,9119,1998,female
13,Markel,sensitive,Markel,6524,1998,female
14,Misael,dry,Misael,5178,1995,male
15,Rasheed,dry,Rasheed,1410,1995,male
16,Alton,sensitive,Alton,7386,1998,male
17,Blair,sensitive,Blair,5038,1998,male
18,Abram,oily,Abram,4137,1997,female
19,Ellis,sensitive,Ellis,7383,1996,male
20,Lionel,sensitive,Lionel,3110,1993,female
21,Maximillian,sensitive,Maximillian,1106,1993,female
22,Dallin,sensitive,Dallin,1466,1996,female
23,Edgardo,oily,Edgardo,3024,1993,female
24,Jayden,dry,Jayden,7623,1992,male
25,Khari,dry,Khari,6047,1994,female
26,Dawson,oily,Dawson,9098,1994,male
27,Denver,oily,Denver,8194,1993,female
28,Jevon,oily,Jevon,4718,1997,female
29,Tyquan,oily,Tyquan,7664,1991,female
30,Rusty,dry,Rusty,2889,1997,male
31,Sonny,oily,Sonny,7623,1998,male
32,Trayvon,dry,Trayvon,6084,1992,male
33,Niko,sensitive,Niko,4335,1991,male
34,Alonso,sensitive,Alonso,7127,1995,male
35,Davin,oily,Davin,1797,1994,female
36,Hernan,dry,Hernan,8164,1997,female
37,Muhammad,sensitive,Muhammad,6029,1995,male
38,Remington,oily,Remington,5179,1993,female
39,Augustus,dry,Augustus,6719,1995,male
40,Benny,dry,Benny,9200,1995,male
41,Daron,dry,Daron,9906,1998,male
42,Mikel,oily,Mikel,3319,1997,male
43,Silas,dry,Silas,8804,1992,female
44,Valentin,sensitive,Valentin,2676,1996,female
45,Wendell,sensitive,Wendell,3934,1997,male
46,Antony,sensitive,Antony,5714,1994,female
47,Clyde,oily,Clyde,5695,1995,female
48,Gunner,oily,Gunner,3925,1998,female
49,Ibrahim,oily,Ibrahim,9920,1997,female
50,Kelby,sensitive,Kelby,9349,1998,female
51,Kevon,sensitive,Kevon,1055,1990,male
52,Talon,sensitive,Talon,1167,1995,female
53,Galen,dry,Galen,9368,1995,female
54,Najee,dry,Najee,1753,1992,female
55,Asher,sensitive,Asher,8283,1995,male
56,Barrett,oily,Barrett,1556,1998,female
57,Jess,sensitive,Jess,8791,1995,female
58,Jody,dry,Jody,1922,1991,male
59,Jorden,oily,Jorden,4244,1996,male
60,Demetri,sensitive,Demetri,1169,1994,female
61,Devontae,sensitive,Devontae,8657,1991,male
62,Lyle,oily,Lyle,2735,1990,male
63,Auston,dry,Auston,9079,1996,male
64,Coby,sensitive,Coby,4530,1995,male
65,Marques,oily,Marques,4746,1991,female
66,Orion,oily,Orion,4433,1992,male
67,Sherman,sensitive,Sherman,9828,1999,male
68,Alexandre,dry,Alexandre,6852,1995,male
69,Ryne,oily,Ryne,5749,1991,female
70,Storm,dry,Storm,3101,1994,female
71,Turner,sensitive,Turner,2265,1995,male
72,Bryon,oily,Bryon,6323,1991,female
73,Cain,sensitive,Cain,2053,1995,female
74,Dionte,oily,Dionte,5017,1990,male
75,Kegan,dry,Kegan,6139,1995,male
76,Aldo,oily,Aldo,1302,1995,male
77,Andreas,sensitive,Andreas,1554,1993,male
78,Isidro,dry,Isidro,8873,1998,male
79,Jaylin,dry,Jaylin,7845,1998,male
80,Titus,dry,Titus,5014,1994,female
81,Cristobal,dry,Cristobal,7973,1995,male
82,Giancarlo,dry,Giancarlo,8880,1997,female
83,Randolph,dry,Randolph,1611,1991,male
84,Dalvin,dry,Dalvin,1482,1994,female
85,Edmund,sensitive,Edmund,4536,1999,female
86,Kelton,dry,Kelton,8502,1998,male
87,Trae,sensitive,Trae,3513,1990,female
88,Brant,dry,Brant,2147,1994,female
89,Broderick,dry,Broderick,1061,1996,male
90,Chadwick,sensitive,Chadwick,7009,1997,female
91,Chaim,sensitive,Chaim,1896,1997,female
92,Chester,oily,Chester,8507,1998,female
93,Jerrell,dry,Jerrell,9834,1998,female
94,Kennedy,sensitive,Kennedy,2637,1994,female
95,Carlo,dry,Carlo,4785,1999,male
96,Darrien,dry,Darrien,9965,1996,male
97,Domenic,oily,Domenic,3343,1994,female
98,Hans,sensitive,Hans,7874,1995,male
99,Layne,dry,Layne,7783,1995,female
